ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-6.6502451872036172e-01 4.2278819267736196e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
139 -0.86201 -0.0953672 2.07107
153 0.60729 0.420565 0.492723
72 0.914961 4.8222 -1.91682
138 -0.57138 -0.542842 -1.18984
152 -3.8183 3.0313 -4.84567
156 -3.26741 -0.489634 3.7158
199 -0.705685 -3.90091 0.109762
203 -0.313979 -2.8316 2.45394
217 0.48814 -1.18218 -0.856344
202 3.08473 -1.82911 2.19798
216 0.938012 -1.37179 1.46533
220 1.87831 1.49955 -0.11393
263 1.77347 2.51958 -0.626769
267 0.586212 1.47245 -0.532786
281 1.03435 -1.98242 2.33306
200 3.42474 -0.229172 -0.137192
266 0.622606 -0.169729 -0.724666
280 -0.314077 -2.9168 1.4731
284 1.19906 -1.80113 -2.1934
327 0.6407 -2.00724 -2.46197
331 3.18663 2.33286 -2.39894
345 -3.17305 -0.732307 -3.09496
264 -1.40718 0.271957 -0.171621
330 0.278549 -1.51763 -0.117059
344 -1.91192 2.38277 -4.26459
348 -2.54285 0.721812 -2.26678
391 -0.255644 6.77106 0.208177
395 0.836898 0.726929 2.32255
409 -0.543395 0.21084 -0.133373
332 -1.0127 0.780923 1.274
394 1.6487 2.75243 -0.134357
408 0.193589 -1.56306 -1.75262
412 -0.157793 3.52265 0.793002
455 -3.20195 -1.82889 -0.371593
459 0.504576 -1.04008 1.01947
473 0.137017 -2.30886 0.673075
457 -0.872764 -2.0178 0.588448
458 1.27325 -1.79596 1.64355
472 0.137026 2.59667 1.15791
476 1.72734 1.8879 -2.41103
519 1.61695 1.7704 -2.60884
523 0.480372 0.36013 -3.0037
537 1.99364 -1.60147 1.13047
456 -0.599825 -3.62002 6.35556
460 4.11093 0.619291 -0.0477469
521 -0.281967 1.34119 2.0032
522 -0.00319465 1.69909 -0.469139
536 3.52563 1.69074 0.505792
540 2.67895 2.38771 0.903045
583 -0.42591 1.32309 0.946488
587 -0.894971 0.964827 0.623638
601 2.34307 1.27469 1.95665
520 1.35565 3.07047 0.19522
524 -0.713067 -0.900571 4.09715
586 2.01566 0.342447 2.09121
600 -1.54775 -0.806485 1.91952
604 3.65644 1.31868 -2.1228
647 1.28237 -1.4616 1.0253
651 1.14086 2.25783 2.34126
665 -1.00005 1.55573 -2.37992
650 2.51102 -2.4963 -0.4318
668 4.52282 -2.47408 0.241489
664 2.69992 -0.768652 4.43863
648 -0.281693 -0.531609 -1.27468
649 2.74878 0.420157 2.16678
588 0.423216 0.285223 0.230806
584 -1.1693 0.000935916 -0.313059
711 0.438521 0.857827 -1.41853
714 1.71403 -0.0402022 -0.592726
715 2.53222 -0.36268 3.28099
728 3.24151 3.97652 -2.16139
729 3.76333 -3.19211 5.66862
732 0.596566 1.10401 4.13306
713 -2.16106 1.01327 3.09445
712 0.451147 1.06187 1.94916
23 0.11033 1.88276 -3.5172
26 -1.99927 -1.1812 -0.981463
27 -0.0516642 -1.41692 0.689057
39 0.603748 -3.27535 2.61003
40 -2.98991 1.27074 -1.79702
41 0.851213 -2.87226 -2.69979
42 -0.461527 0.930563 -0.0328804
43 1.75461 1.05044 -2.23152
44 0.274276 2.22318 -2.24712
91 -0.965872 -3.08217 -1.1308
87 -6.10109 -1.92322 -1.71639
107 -5.42423 -2.01556 0.0173776
105 -0.974187 1.01772 -2.91364
103 -1.36857 -0.195438 -2.12418
90 0.677614 -2.86947 0.616449
104 1.5324 -4.04968 -0.688226
106 -0.888752 -1.48483 2.57122
108 0.0780508 0.227512 -1.29328
151 0.0448525 1.4059 6.16807
155 -2.10313 -1.57777 1.72762
167 1.36907 0.437307 2.70004
169 -1.83488 1.47347 0.293376
171 -0.0897338 -0.276558 1.31026
154 -0.941987 -0.646623 -2.9802
168 -1.42126 -2.2233 -3.61259
170 -2.19062 2.06918 -0.0584857
172 0.00961399 -0.590114 -3.93958
215 0.947764 -0.905301 0.311038
219 -0.277613 1.33112 -0.488815
231 1.68689 -0.799002 -1.45133
233 4.44976 0.526377 -1.90594
235 -1.3969 0.0629257 1.1371
218 0.884944 1.15764 2.93775
232 -1.79099 1.96905 -0.936364
234 1.22004 -0.764009 -1.25712
236 -1.51699 -0.352639 -3.53219
279 1.99846 1.17306 1.6021
283 -1.99256 -0.301986 -2.45994
295 -0.904124 -0.322969 -0.46451
297 -3.18354 2.56902 0.297703
299 -1.88308 -0.825204 -0.85285
282 -6.74793 0.679204 2.82013
296 -0.419672 -2.24076 -1.68377
298 0.389848 -0.649022 -0.140299
300 -1.9155 -0.688289 -0.365546
343 5.58419 -2.18723 0.420596
347 -2.74836 -0.723149 -1.86764
359 0.141216 -1.23682 0.657744
361 4.98212 0.698982 3.18776
363 -2.41943 -2.29291 2.6626
346 0.0482696 -0.0338883 0.772267
360 1.50077 1.10758 1.71082
362 0.0718814 -1.49777 2.07754
364 -3.19695 1.25127 -1.03454
407 0.112897 -3.83009 0.10648
411 1.5922 -1.1163 -0.223009
423 -3.33149 1.85533 -0.282988
425 1.22342 1.60821 1.44673
427 -0.268633 -0.891179 0.678605
410 0.654266 1.54067 -2.56096
424 -1.76902 0.233931 -0.697488
426 0.420479 2.91141 -0.456074
428 2.40683 -2.44345 -1.44857
471 -3.20261 2.44557 -1.1519
475 0.691618 -0.606473 0.463674
487 1.32243 2.90968 -0.789351
489 1.29377 -0.848002 1.00987
491 0.10259 -2.63251 -0.870625
474 -3.48626 2.71861 -0.0695867
488 -1.82679 -0.997876 -2.33831
490 0.585376 -2.43258 -1.52534
492 1.15554 -2.94579 1.9524
535 -1.21475 1.66004 0.658854
539 0.318373 -1.95841 1.10334
551 0.677297 -0.960858 -0.396059
553 3.44151 0.206318 0.199886
555 -2.37046 -4.00646 1.13362
538 -0.144352 -0.712052 -2.02572
552 2.51215 -2.65388 -2.27963
554 -1.18597 0.206209 0.92694
556 0.614381 -1.62773 1.79676
599 0.187234 -1.85689 2.36962
603 1.13651 2.01772 -3.53521
615 -1.84137 2.43897 -0.103648
617 2.96228 2.19765 1.01115
619 0.161534 -1.1449 -0.688996
602 3.20798 -0.996253 0.0872218
616 -0.0467693 2.27978 -3.86447
618 2.41547 0.934276 -1.4782
620 2.57853 0.0356966 -0.658413
663 -1.1185 -0.318027 -2.34115
667 -1.41752 -1.09515 -2.70666
679 1.54863 0.636257 -1.39201
681 3.22627 -1.37296 -0.810515
683 2.036 0.762863 -1.7155
666 -0.754383 -1.72311 2.24336
682 -1.23343 -3.54853 -3.0364
680 -3.3051 -0.554679 0.250717
684 -1.15628 -3.95531 2.91059
727 1.32579 0.956403 1.10835
730 0.980731 1.94588 -2.81432
731 3.12169 2.08174 0.238178
743 -0.13433 0.357734 -2.05797
744 1.88046 -1.02616 -2.98017
745 0.336257 -0.959801 0.456137
746 1.93463 3.31499 2.61215
747 -0.502778 -0.0984301 0.963521
748 0.492708 1.10991 2.583
73 -2.86577 0.666551 -1.53207
55 -0.311054 3.29566 1.03295
56 0.647859 3.91708 -1.90516
57 1.64133 0.428927 -0.405599
58 -0.684729 1.20456 2.81609
59 -0.85607 -4.3207 -1.02168
60 4.228 1.51268 0.67797
119 -0.212577 -1.56018 1.56334
123 -3.66692 -1.99679 -1.57363
76 -3.50406 -0.398354 0.583929
137 -2.29104 -0.625108 -2.25345
121 -2.91083 -0.661164 -1.90448
120 0.693983 0.0233939 2.73102
122 -0.618904 -0.49786 -3.71765
124 -0.916998 -4.4269 1.20822
183 -4.26991 -2.04889 1.73915
185 2.45757 5.63507 -2.64662
187 -3.13181 2.1049 -0.952263
136 0.876255 1.0655 -0.461425
140 -0.0626425 3.59321 -1.79251
201 -1.08545 -3.38894 -0.790573
184 -0.717957 -2.49247 -0.906645
186 -0.578846 -0.445919 0.972196
188 2.0474 -0.395842 -0.408552
247 2.06953 -2.62193 0.720512
249 1.02138 -1.95704 -2.14908
251 5.61859 0.780574 3.05562
265 -1.34006 2.4712 -0.66241
204 2.56468 1.71537 -0.72129
248 -1.23826 1.20688 1.36871
250 -1.93194 -0.930847 1.50376
252 2.64054 2.30182 0.565678
311 2.75029 -0.528881 -0.888963
313 1.72635 -0.175066 -0.841953
315 -4.4779 -1.12286 1.55632
268 -0.326144 0.41179 1.69224
329 2.78312 -1.42208 -1.41435
312 1.79812 0.0231885 2.93665
314 1.44954 3.967 -1.93452
316 -2.80786 -2.04301 -0.369946
375 2.36626 -3.66381 0.497729
377 1.52992 0.709445 1.74303
379 -1.70626 -2.95048 -0.509705
328 1.62014 1.22754 -0.594599
393 -2.14899 -1.45335 -2.26029
376 -2.87972 -0.178391 -2.42272
378 1.70041 0.127352 -0.0062551
380 -0.741138 1.08944 -1.93999
439 0.16782 -2.27193 -0.995475
441 1.38856 0.339358 4.50673
443 -1.65329 1.28585 -1.73491
396 1.58884 -6.20264 2.29759
392 -0.373756 -0.574039 -1.19552
440 -0.364099 1.01145 0.23892
442 -1.02503 0.471954 1.92702
444 1.18025 0.975771 1.10791
503 0.00971186 1.81846 -2.577
505 -0.459214 1.80974 -1.47843
507 3.0947 -0.37843 0.479688
